,id,Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Fireplace,Terrace,Terrace area,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
10645,20321008,4300,HOUSE,MIXED_USE_BUILDING,250000.0,2,411.0,1,0,0,-1,0.0,-1,0.0,-1.0,376.0,2,0,GOOD
10646,20315281,8400,APARTMENT,APARTMENT,255000.0,1,90.0,-1,0,0,-1,0.0,-1,0.0,-1.0,-1.0,-1,-1,GOOD
10647,20310934,2940,APARTMENT,APARTMENT,250000.0,2,80.0,1,-1,0,1,14.0,-1,0.0,-1.0,-1.0,-1,-1,JUST_RENOVATED
10648,20319009,9000,APARTMENT,APARTMENT,435000.0,1,70.0,1,-1,0,-1,0.0,-1,0.0,-1.0,-1.0,-1,-1,GOOD
10649,20312839,9050,APARTMENT,APARTMENT,399000.0,2,142.0,-1,0,0,1,60.0,-1,0.0,-1.0,-1.0,-1,-1,GOOD
10650,20306784,1060,APARTMENT,FLAT_STUDIO,188000.0,0,43.0,-1,0,0,-1,0.0,-1,0.0,-1.0,-1.0,2,-1,AS_NEW
10651,20306777,1060,APARTMENT,APARTMENT,255000.0,1,73.0,1,0,0,1,7.0,-1,0.0,-1.0,-1.0,2,0,UNDEFINED
10652,20306775,1060,APARTMENT,APARTMENT,327000.0,2,94.0,1,0,0,1,2.0,-1,0.0,-1.0,-1.0,2,0,UNDEFINED
10653,20306779,1060,APARTMENT,APARTMENT,355000.0,2,94.0,1,0,0,1,41.0,-1,0.0,-1.0,-1.0,2,0,UNDEFINED
10654,20306781,1060,APARTMENT,APARTMENT,375000.0,2,91.0,1,0,0,1,49.0,-1,0.0,-1.0,-1.0,2,0,UNDEFINED
10655,20308430,2500,APARTMENT,APARTMENT,267500.0,2,94.0,1,-1,0,1,13.0,-1,0.0,-1.0,-1.0,4,-1,UNDEFINED
10656,20308447,2500,APARTMENT,APARTMENT,286900.0,2,102.0,1,-1,0,1,23.0,-1,0.0,-1.0,-1.0,4,-1,UNDEFINED
10657,20306246,1770,APARTMENT,APARTMENT,317000.0,2,96.0,1,-1,0,1,10.0,-1,0.0,-1.0,-1.0,4,-1,UNDEFINED
10658,20306243,1770,APARTMENT,APARTMENT,353000.0,2,91.0,1,-1,0,1,9.0,-1,0.0,-1.0,-1.0,4,-1,UNDEFINED
10659,20306514,1150,APARTMENT,APARTMENT,745000.0,2,127.0,1,0,0,1,14.0,-1,0.0,-1.0,-1.0,2,0,AS_NEW
10660,20306510,1150,APARTMENT,APARTMENT,775000.0,2,133.0,1,0,0,1,17.0,-1,0.0,-1.0,-1.0,2,0,AS_NEW
10661,20306488,1150,APARTMENT,APARTMENT,870000.0,3,147.0,1,0,0,1,13.0,-1,0.0,-1.0,-1.0,2,0,AS_NEW
10662,20318685,4680,HOUSE,HOUSE,385000.0,4,404.0,1,0,0,1,0.0,1,170.0,170.0,387.0,3,0,TO_BE_DONE_UP
10663,20315320,6240,HOUSE,HOUSE,350000.0,3,165.0,1,-1,1,1,38.0,-1,0.0,-1.0,2783.0,3,-1,GOOD
10664,20318232,9500,APARTMENT,APARTMENT,199000.0,3,75.0,1,-1,0,-1,0.0,-1,0.0,-1.0,-1.0,2,-1,GOOD
10665,20317404,9070,HOUSE,HOUSE,428000.0,4,185.0,-1,0,0,1,0.0,-1,0.0,-1.0,170.0,-1,-1,TO_BE_DONE_UP
10666,20302963,9000,APARTMENT,APARTMENT,310000.0,2,81.0,1,0,0,1,10.0,-1,0.0,-1.0,-1.0,4,0,AS_NEW
10667,20302959,9000,APARTMENT,APARTMENT,400000.0,3,111.0,1,0,0,1,27.0,-1,0.0,-1.0,-1.0,4,0,AS_NEW
10668,20305148,2500,APARTMENT,APARTMENT,417600.0,2,127.0,1,-1,0,1,23.0,-1,0.0,-1.0,-1.0,2,-1,UNDEFINED
10669,20302855,3600,APARTMENT,APARTMENT,395000.0,2,-1.0,-1,0,0,1,13.0,-1,0.0,-1.0,-1.0,-1,-1,UNDEFINED
10670,20302858,3600,APARTMENT,APARTMENT,415000.0,2,-1.0,-1,0,0,1,26.0,-1,0.0,-1.0,-1.0,-1,-1,UNDEFINED
10671,20302857,3600,APARTMENT,APARTMENT,495000.0,2,-1.0,-1,0,0,1,48.0,-1,0.0,-1.0,-1.0,-1,-1,UNDEFINED
